,NC,C,NM,M
0,5,5,0,0
1,0,5,0,0
2,0,5,0,0
3,0,5,0,0
4,1,6,0,0
5,0,6,0,0
6,0,6,0,0
7,1,7,0,0
8,4,11,0,0
9,1,12,0,0
10,11,23,0,0
11,0,23,0,0
12,6,29,0,0
13,0,29,0,0
14,9,38,0,0
15,18,56,0,0
16,46,102,0,0
17,23,125,0,0
18,0,125,0,0
19,79,204,0,0
20,34,238,0,0
21,57,295,1,1
22,133,428,3,4
23,193,621,0,4
24,283,904,7,11
25,0,904,0,11
26,0,904,0,11
27,1297,2201,35,46
28,0,2201,0,46
29,232,2433,11,57
30,0,2433,0,57
31,482,2915,20,77
32,502,3417,15,92
33,487,3904,22,114
34,352,4256,22,136
35,323,4579,23,159
36,1138,5717,42,201
37,1119,6836,40,241
38,1074,7910,58,299
39,1146,9056,60,359
40,1222,10278,73,432
41,852,11130,54,486
42,926,12056,67,553
43,1661,13717,114,667
44,2210,15927,133,800
45,1930,17857,141,941
46,1781,19638,115,1056
47,1089,20727,68,1124
48,1442,22169,99,1223
49,1261,23430,105,1328
50,1832,25262,204,1532
51,3058,28320,204,1736
52,2105,30425,188,1924
53,3257,33682,217,2141
54,2917,36599,206,2347
55,2055,38654,115,2462
56,1927,40581,113,2575
57,2498,43079,166,2741
58,2678,45757,165,2906
59,3735,49492,407,3313
60,3503,52995,357,3670
61,5514,58509,346,4016
62,3379,61888,189,4205
63,4613,66501,338,4543
64,5385,71886,474,5017
65,6276,78162,449,5466
66,7218,85380,435,5901
67,6209,91589,428,6329
68,4970,96559,421,6750
69,4588,101147,275,7025
70,6633,107780,296,7321
71,6935,114715,600,7921
72,10503,125218,615,8536
73,9888,135106,610,9146
74,10222,145328,751,9897
75,10611,155939,730,10627
76,6760,162699,496,11123
77,5632,168331,396,11519
78,9258,177589,881,12400
79,11385,188974,749,13149
80,13944,202918,844,13993
81,15305,218223,824,14817
82,14919,233142,816,15633
83,7938,241080,485,16118
84,13140,254220,674,16792
85,17408,271628,1179,17971
86,19951,291579,888,18859
87,18508,310087,1188,20047
88,20803,330890,1001,21048
89,16508,347398,965,22013
90,15813,363211,653,22666
91,11687,374898,807,23473
92,16324,391222,1039,24512
93,20599,411821,1086,25598
94,26417,438238,1156,26754
95,26928,465166,1124,27878
96,33274,498440,956,28834
97,16409,514849,480,29314
98,11598,526447,623,29937
99,28936,555383,1262,31199
100,28633,584016,1349,32548
101,30925,614941,1473,34021
102,30830,645771,1005,35026
103,27075,672846,904,35930
104,18912,691758,525,36455
105,15654,707412,679,37134
106,32091,739503,1272,38406
107,32913,772416,1274,39680
108,30412,802828,1239,40919
109,25982,828810,909,41828
110,21704,850514,892,42720
111,17110,867624,612,43332
112,20647,888271,627,43959
113,34918,923189,1282,45241
114,32188,955377,1269,46510
115,22765,978142,1238,47748
116,54771,1032913,1206,48954
117,34666,1067579,1022,49976
118,17459,1085038,641,50617
119,21432,1106470,654,51271
120,39436,1145906,1374,52645
121,42725,1188631,1185,53830
122,39483,1228114,1141,54971
123,46860,1274974,990,55961
124,38693,1313667,1109,57070
125,30476,1344143,552,57622
126,24052,1368195,692,58314
127,33846,1402041,1280,59594
128,46712,1448753,1038,60632
129,48105,1496858,1252,61884
130,42223,1539081,1290,63174
131,37923,1577004,1091,64265
132,26051,1603055,602,64867
133,20229,1623284,620,65487
134,45305,1668589,1254,66741
135,44571,1713160,1223,67964
136,42619,1755779,1220,69184
137,45048,1800827,1214,70398
138,39023,1839850,1071,71469
139,24831,1864681,631,72100
140,20286,1884967,733,72833
141,41857,1926824,1300,74133
142,39924,1966748,1233,75366
143,45403,2012151,1322,76688
144,34177,2046328,1163,77851
145,28532,2074860,921,78772
146,23529,2098389,716,79488
147,20257,2118646,632,80120
148,41008,2159654,1367,81487
149,67860,2227514,1284,82771
150,59961,2287475,1311,84082
151,55891,2343366,1156,85238
152,51147,2394513,1211,86449
153,24578,2419091,555,87004
154,23284,2442375,614,87618
155,40816,2483191,921,88539
156,69074,2552265,1595,90134
157,57837,2610102,1129,91263
158,52383,2662485,1212,92475
159,45392,2707877,1088,93563
160,25800,2733677,541,94104
161,16641,2750318,561,94665
162,51603,2801921,1154,95819
163,57152,2859073,1437,97256
164,53139,2912212,1237,98493
165,50230,2962442,1079,99572
166,49970,3012412,905,100477
