,Date_reported, Country_code, Country, WHO_region, New_cases, Cumulative_cases, New_deaths, Cumulative_deaths
4221,2020-02-26,BR,Brazil,AMRO,5,5,0,0
4222,2020-02-27,BR,Brazil,AMRO,0,5,0,0
4223,2020-02-28,BR,Brazil,AMRO,0,5,0,0
4224,2020-02-29,BR,Brazil,AMRO,0,5,0,0
4225,2020-03-01,BR,Brazil,AMRO,1,6,0,0
4226,2020-03-02,BR,Brazil,AMRO,0,6,0,0
4227,2020-03-03,BR,Brazil,AMRO,0,6,0,0
4228,2020-03-04,BR,Brazil,AMRO,1,7,0,0
4229,2020-03-05,BR,Brazil,AMRO,4,11,0,0
4230,2020-03-06,BR,Brazil,AMRO,1,12,0,0
4231,2020-03-07,BR,Brazil,AMRO,11,23,0,0
4232,2020-03-08,BR,Brazil,AMRO,0,23,0,0
4233,2020-03-09,BR,Brazil,AMRO,6,29,0,0
4234,2020-03-10,BR,Brazil,AMRO,0,29,0,0
4235,2020-03-11,BR,Brazil,AMRO,9,38,0,0
4236,2020-03-12,BR,Brazil,AMRO,18,56,0,0
4237,2020-03-13,BR,Brazil,AMRO,46,102,0,0
4238,2020-03-14,BR,Brazil,AMRO,23,125,0,0
4239,2020-03-15,BR,Brazil,AMRO,0,125,0,0
4240,2020-03-16,BR,Brazil,AMRO,79,204,0,0
4241,2020-03-17,BR,Brazil,AMRO,34,238,0,0
4242,2020-03-18,BR,Brazil,AMRO,57,295,1,1
4243,2020-03-19,BR,Brazil,AMRO,133,428,3,4
4244,2020-03-20,BR,Brazil,AMRO,193,621,0,4
4245,2020-03-21,BR,Brazil,AMRO,283,904,7,11
4246,2020-03-22,BR,Brazil,AMRO,0,904,0,11
4247,2020-03-23,BR,Brazil,AMRO,0,904,0,11
4248,2020-03-24,BR,Brazil,AMRO,1297,2201,35,46
4249,2020-03-25,BR,Brazil,AMRO,0,2201,0,46
4250,2020-03-26,BR,Brazil,AMRO,232,2433,11,57
4251,2020-03-27,BR,Brazil,AMRO,0,2433,0,57
4252,2020-03-28,BR,Brazil,AMRO,482,2915,20,77
4253,2020-03-29,BR,Brazil,AMRO,502,3417,15,92
4254,2020-03-30,BR,Brazil,AMRO,487,3904,22,114
4255,2020-03-31,BR,Brazil,AMRO,352,4256,22,136
4256,2020-04-01,BR,Brazil,AMRO,323,4579,23,159
4257,2020-04-02,BR,Brazil,AMRO,1138,5717,42,201
4258,2020-04-03,BR,Brazil,AMRO,1119,6836,40,241
4259,2020-04-04,BR,Brazil,AMRO,1074,7910,58,299
4260,2020-04-05,BR,Brazil,AMRO,1146,9056,60,359
4261,2020-04-06,BR,Brazil,AMRO,1222,10278,73,432
4262,2020-04-07,BR,Brazil,AMRO,852,11130,54,486
4263,2020-04-08,BR,Brazil,AMRO,926,12056,67,553
4264,2020-04-09,BR,Brazil,AMRO,1661,13717,114,667
4265,2020-04-10,BR,Brazil,AMRO,2210,15927,133,800
4266,2020-04-11,BR,Brazil,AMRO,1930,17857,141,941
4267,2020-04-12,BR,Brazil,AMRO,1781,19638,115,1056
4268,2020-04-13,BR,Brazil,AMRO,1089,20727,68,1124
4269,2020-04-14,BR,Brazil,AMRO,1442,22169,99,1223
